row_index,pl_name,n_clean,n_degenerate,n_failed,figure_path,npz_path,error
545,EPIC 249893012 c,0,133,2,results/multi_system/_chunks/chunk_18/status_row0545_EPIC_249893012_c.png,results/multi_system/_chunks/chunk_18/batch_row0545_EPIC_249893012_c.npz,
546,PH1 b,0,90,45,results/multi_system/_chunks/chunk_18/status_row0546_PH1_b.png,results/multi_system/_chunks/chunk_18/batch_row0546_PH1_b.npz,
547,K2-233 b,0,130,5,results/multi_system/_chunks/chunk_18/status_row0547_K2-233_b.png,results/multi_system/_chunks/chunk_18/batch_row0547_K2-233_b.npz,
548,Kepler-33 e,0,133,2,results/multi_system/_chunks/chunk_18/status_row0548_Kepler-33_e.png,results/multi_system/_chunks/chunk_18/batch_row0548_Kepler-33_e.npz,
549,Kepler-1991 b,0,133,2,results/multi_system/_chunks/chunk_18/status_row0549_Kepler-1991_b.png,results/multi_system/_chunks/chunk_18/batch_row0549_Kepler-1991_b.npz,
550,EPIC 249893012 d,0,132,3,results/multi_system/_chunks/chunk_19/status_row0550_EPIC_249893012_d.png,results/multi_system/_chunks/chunk_19/batch_row0550_EPIC_249893012_d.npz,
551,TIC 434398831 b,0,132,3,results/multi_system/_chunks/chunk_19/status_row0551_TIC_434398831_b.png,results/multi_system/_chunks/chunk_19/batch_row0551_TIC_434398831_b.npz,
552,K2-203 b,0,132,3,results/multi_system/_chunks/chunk_19/status_row0552_K2-203_b.png,results/multi_system/_chunks/chunk_19/batch_row0552_K2-203_b.npz,
553,Kepler-975 c,0,132,3,results/multi_system/_chunks/chunk_19/status_row0553_Kepler-975_c.png,results/multi_system/_chunks/chunk_19/batch_row0553_Kepler-975_c.npz,
554,Kepler-33 d,0,133,2,results/multi_system/_chunks/chunk_19/status_row0554_Kepler-33_d.png,results/multi_system/_chunks/chunk_19/batch_row0554_Kepler-33_d.npz,
555,Kepler-949 c,0,132,3,results/multi_system/_chunks/chunk_19/status_row0555_Kepler-949_c.png,results/multi_system/_chunks/chunk_19/batch_row0555_Kepler-949_c.npz,
556,Kepler-1518 c,0,133,2,results/multi_system/_chunks/chunk_19/status_row0556_Kepler-1518_c.png,results/multi_system/_chunks/chunk_19/batch_row0556_Kepler-1518_c.npz,
557,Kepler-619 d,0,133,2,results/multi_system/_chunks/chunk_19/status_row0557_Kepler-619_d.png,results/multi_system/_chunks/chunk_19/batch_row0557_Kepler-619_d.npz,
558,K2-225 b,0,132,3,results/multi_system/_chunks/chunk_19/status_row0558_K2-225_b.png,results/multi_system/_chunks/chunk_19/batch_row0558_K2-225_b.npz,
559,Kepler-164 e,0,131,4,results/multi_system/_chunks/chunk_19/status_row0559_Kepler-164_e.png,results/multi_system/_chunks/chunk_19/batch_row0559_Kepler-164_e.npz,
560,Kepler-421 b,0,133,2,results/multi_system/_chunks/chunk_19/status_row0560_Kepler-421_b.png,results/multi_system/_chunks/chunk_19/batch_row0560_Kepler-421_b.npz,
561,KOI-3680 b,0,130,5,results/multi_system/_chunks/chunk_19/status_row0561_KOI-3680_b.png,results/multi_system/_chunks/chunk_19/batch_row0561_KOI-3680_b.npz,
